"","ID","region","MAT","MAP","ANPP"
"790",1211,"EMDI",3.6,576,6.105263158
"791",1212,"EMDI",3.6,569,4.842105263
"792",1213,"EMDI",3.7,679,3.263157895
"793",1214,"EMDI",3.7,770,5.263157895
"794",1215,"EMDI",4,600,0.736842105
"795",1216,"EMDI",4.1,932,8.631578947
"796",1217,"EMDI",4.2,627,2.947368421
"797",1218,"EMDI",4.3,611,6.315789474
"798",1219,"EMDI",4.3,609,3.368421053
"799",1220,"EMDI",4.4,936,9.894736842
"800",1221,"EMDI",4.4,935,3.789473684
"801",1222,"EMDI",4.5,798,6.105263158
"802",1223,"EMDI",4.5,706,8.484210526
"803",1224,"EMDI",4.6,928,4.421052632
"804",1225,"EMDI",5.3,607,2.884210526
"805",1226,"EMDI",-4.8,1180,8.631578947
"806",1227,"EMDI",1.9,1068,6.526315789
"807",1228,"EMDI",3.2,594,9.578947368
"808",1229,"EMDI",3.4,281,5.852631579
"809",1230,"EMDI",3.7,1866,6.105263158
"810",1231,"EMDI",4,310,5.473684211
"811",1232,"EMDI",4.2,840,5.221052632
"812",1233,"EMDI",4.3,825,10.42105263
"813",1234,"EMDI",4.5,1137,9.010526316
"814",1235,"EMDI",5.7,624,5.684210526
"815",1236,"EMDI",5.7,1161,9.263157895
"816",1237,"EMDI",6,314,1.052631579
"817",1238,"EMDI",6.3,602,11.15789474
"818",1239,"EMDI",6.4,1716,4
"819",1240,"EMDI",6.6,927,10.21052632
"820",1241,"EMDI",6.8,1325,6.736842105
"821",1242,"EMDI",6.8,766,13.38947368
"822",1243,"EMDI",6.8,539,7.789473684
"823",1244,"EMDI",6.8,1516,15.78947368
"824",1245,"EMDI",6.8,384,7.157894737
"825",1246,"EMDI",7,785,13.78947368
"826",1247,"EMDI",7.3,550,2.105263158
"827",1248,"EMDI",7.3,794,9.073684211
"828",1249,"EMDI",7.4,586,4.210526316
"829",1250,"EMDI",7.4,1093,19.57894737
"830",1251,"EMDI",7.4,1537,18.16842105
"831",1252,"EMDI",7.6,853,10.52631579
"832",1253,"EMDI",7.6,1678,9.263157895
"833",1254,"EMDI",7.6,1865,7.894736842
"834",1255,"EMDI",7.7,997,15.57894737
"835",1256,"EMDI",7.7,1446,15.36842105
"836",1257,"EMDI",7.8,892,7.368421053
"837",1258,"EMDI",7.8,820,9.263157895
"838",1259,"EMDI",8.2,824,8.210526316
"839",1260,"EMDI",8.3,689,10.52631579
"840",1261,"EMDI",8.3,591,6.736842105
"841",1262,"EMDI",8.4,738,20.21052632
"842",1263,"EMDI",8.5,1403,6
"843",1264,"EMDI",8.5,484,5.473684211
"844",1265,"EMDI",8.6,1732,11.22105263
"845",1266,"EMDI",8.7,1279,8.421052632
"846",1267,"EMDI",8.8,1061,14.31578947
"847",1268,"EMDI",9.2,990,9.915789474
"848",1269,"EMDI",9.2,656,14.52631579
"849",1270,"EMDI",9.3,790,6.105263158
"850",1271,"EMDI",9.3,1379,6.947368421
"851",1272,"EMDI",9.3,582,4.631578947
"852",1273,"EMDI",9.3,1699,11.05263158
"853",1274,"EMDI",9.6,1209,2.947368421
"854",1275,"EMDI",9.8,1970,11.26315789
"855",1276,"EMDI",9.8,1180,14.31578947
"856",1277,"EMDI",9.9,580,5.684210526
"857",1278,"EMDI",10.5,1226,13.05263158
"858",1279,"EMDI",10.5,806,4.842105263
"859",1280,"EMDI",10.5,1584,7.578947368
"860",1281,"EMDI",10.6,1564,7.684210526
"861",1282,"EMDI",11.1,1392,10.31578947
"862",1283,"EMDI",11.2,2264,12.77894737
"863",1284,"EMDI",11.3,2289,17.36842105
"864",1285,"EMDI",11.9,1515,26.46315789
"865",1286,"EMDI",11.9,1692,12.14736842
"866",1287,"EMDI",11.9,1454,13.05263158
"867",1288,"EMDI",12,694,8
"868",1289,"EMDI",12.1,964,14.73684211
"869",1290,"EMDI",12.4,1308,10.63157895
"870",1291,"EMDI",12.4,208,2.526315789
"871",1292,"EMDI",12.4,1316,16.98947368
"872",1293,"EMDI",12.7,2110,13.89473684
"873",1294,"EMDI",12.8,1493,23.13684211
"874",1295,"EMDI",12.8,1356,9.894736842
"875",1296,"EMDI",12.9,1739,6.105263158
"876",1297,"EMDI",13.2,1456,13.47368421
"877",1298,"EMDI",13.3,2194,10.52631579
"878",1299,"EMDI",13.6,2073,14.52631579
"879",1300,"EMDI",13.6,2228,15.36842105
"880",1301,"EMDI",13.9,1080,4
"881",1302,"EMDI",14.2,3096,14.61052632
"882",1303,"EMDI",14.3,666,13.47368421
"883",1304,"EMDI",14.4,1612,11.93684211
"884",1305,"EMDI",14.7,2007,10.58947368
"885",1306,"EMDI",14.9,1413,8.842105263
"886",1307,"EMDI",15.2,1292,13.26315789
"887",1308,"EMDI",15.2,1080,23.43157895
"888",1309,"EMDI",15.3,1166,13.78947368
"889",1310,"EMDI",15.5,1127,11.15789474
"890",1311,"EMDI",15.7,1484,4.631578947
"891",1312,"EMDI",15.7,1352,9.052631579
"892",1313,"EMDI",15.7,1997,23.15789474
"893",1314,"EMDI",16.5,2365,17.09473684
"894",1315,"EMDI",16.7,1165,10.94736842
"895",1316,"EMDI",16.9,2213,11.11578947
"896",1317,"EMDI",17.2,1374,21.05263158
"897",1318,"EMDI",17.4,602,20.06315789
"898",1319,"EMDI",17.4,1351,13.15789474
"899",1320,"EMDI",19.9,1340,7.578947368
"900",1321,"EMDI",20.7,1361,9.010526316
"901",1322,"EMDI",20.8,1355,8.589473684
"902",1323,"EMDI",25.1,1165,19.89473684
"903",1324,"EMDI",6.4,1880,7.789473684
"904",1325,"EMDI",4.8,320,13.13684211
"905",1326,"EMDI",5.9,779,10.31578947
"906",1327,"EMDI",6.1,767,3.852631579
"907",1328,"EMDI",6.1,448,7.242105263
"908",1329,"EMDI",6.4,746,9.578947368
"909",1330,"EMDI",9.4,577,7.157894737
"910",1331,"EMDI",9.9,1321,16.42105263
"911",1332,"EMDI",10.1,1622,9.326315789
"912",1333,"EMDI",11.1,1084,8.631578947
"913",1334,"EMDI",11.2,592,17.47368421
"914",1335,"EMDI",11.3,1079,8
"915",1336,"EMDI",12.6,1343,13.26315789
"916",1337,"EMDI",12.8,1890,8.315789474
"917",1338,"EMDI",14.2,1320,7.789473684
"918",1339,"EMDI",14.6,1167,8.736842105
"919",1340,"EMDI",16.3,888,12.63157895
"920",1341,"EMDI",19.2,1485,10.18947368
